Dataset Name,Paper Link,Is Age Explicitly Documented,Age Documented How,Is Age Complete,Patient Demographics / Covariates / Metadata,Sample Size,Imaging Modality(ies),Peds vs. Adult,Organ / Body Part
ds001555,https://openneuro.org/datasets/ds001555/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 25.00 years
Age Range: 23.00 to 28.00 years","Patients: 3
Sequences: 3",MRI,Adult,Brain
ds001563,https://openneuro.org/datasets/ds001563/versions/1.0.1,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds001566,https://openneuro.org/datasets/ds001566/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 21.00 years
Age Range: 21.00 to 21.00 years","Patients: 1
Sequences: 1",MRI,Adult,Brain
ds001576,https://openneuro.org/datasets/ds001576/versions/1.0.0,False,,,,"Patients: 36
Sequences: 36",MRI,,Brain
ds001590,https://openneuro.org/datasets/ds001590/versions/1.0.1,False,,,,"Patients: 32
Sequences: 32",MRI,,Brain
ds001595,https://openneuro.org/datasets/ds001595/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds001597,https://openneuro.org/datasets/ds001597/versions/1.0.0,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds001600,https://openneuro.org/datasets/ds001600/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds001607,https://openneuro.org/datasets/ds001607/versions/1.0.1,False,,,,"Patients: 32
Sequences: 32",MRI,,Brain
ds001608,https://openneuro.org/datasets/ds001608/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 26.29 years
Age Range: 23.00 to 32.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds001612,https://openneuro.org/datasets/ds001612/versions/1.0.2,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds001621,https://openneuro.org/datasets/ds001621/versions/1.1.0,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds001634,https://openneuro.org/datasets/ds001634/versions/1.0.1,False,,,,"Patients: 19
Sequences: 19",MRI,,Brain
ds001635,https://openneuro.org/datasets/ds001635/versions/1.0.1,False,,,,"Patients: 16
Sequences: 16",MRI,,Brain
ds001652,https://openneuro.org/datasets/ds001652/versions/2.0.0,True,Patient-Level,True,"Avg. Age: 22.50 years
Age Range: 18.00 to 27.00 years","Patients: 8
Sequences: 8",MRI,Adult,Brain
ds001705,https://openneuro.org/datasets/ds001705/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 41.20 years
Age Range: 28.00 to 53.00 years","Patients: 5
Sequences: 5",MRI,Adult,Brain
ds001715,https://openneuro.org/datasets/ds001715/versions/1.0.0,False,,,,"Patients: 34
Sequences: 34",MRI,,Brain
ds001722,https://openneuro.org/datasets/ds001722/versions/1.1.0,False,,,,"Patients: 19
Sequences: 19",MRI,,Brain
ds001728,https://openneuro.org/datasets/ds001728/versions/1.1.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds001734,https://openneuro.org/datasets/ds001734/versions/1.0.5,True,Patient-Level,True,"Avg. Age: 25.55 years
Age Range: 18.00 to 37.00 years","Patients: 108
Sequences: 108",MRI,Adult,Brain
ds001740,https://openneuro.org/datasets/ds001740/versions/2.2.0,True,Patient-Level,True,"Avg. Age: 28.33 years
Age Range: 18.00 to 73.00 years","Patients: 27
Sequences: 27",MRI,Adult,Brain
ds001743,https://openneuro.org/datasets/ds001743/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 38.67 years
Age Range: 19.00 to 66.00 years","Patients: 12
Sequences: 12",MRI,Adult,Brain
ds001745,https://openneuro.org/datasets/ds001745/versions/1.1.0,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds001747,https://openneuro.org/datasets/ds001747/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 21.71 years
Age Range: 18.00 to 29.00 years","Patients: 92
Sequences: 92",MRI,Adult,Brain
ds001748,https://openneuro.org/datasets/ds001748/versions/1.0.4,True,Patient-Level,True,"Avg. Age: 17.68 years
Age Range: 10.00 to 34.00 years","Patients: 62
Sequences: 62",MRI,"Peds, Adult (>33.87%)",Brain
ds001751,https://openneuro.org/datasets/ds001751/versions/1.0.2,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds001761,https://openneuro.org/datasets/ds001761/versions/2.0.1,True,Patient-Level,True,"Avg. Age: 32.00 years
Age Range: 24.00 to 44.00 years","Patients: 4
Sequences: 4",MRI,Adult,Brain
ds001762,https://openneuro.org/datasets/ds001762/versions/1.0.1,False,,,,"Patients: 31
Sequences: 31",MRI,,Brain
ds001771,https://openneuro.org/datasets/ds001771/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 25.32 years
Age Range: 18.00 to 41.00 years","Patients: 40
Sequences: 40",MRI,Adult,Brain
ds001775,https://openneuro.org/datasets/ds001775/versions/1.0.1,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds001780,https://openneuro.org/datasets/ds001780/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds001796,https://openneuro.org/datasets/ds001796/versions/1.7.0,True,Patient-Level,True,"Avg. Age: 31.91 years
Age Range: 18.00 to 52.00 years","Patients: 64
Sequences: 64",MRI,Adult,Brain
ds001818,https://openneuro.org/datasets/ds001818/versions/1.0.0,False,,,,"Patients: 50
Sequences: 50",MRI,,Brain
ds001838,https://openneuro.org/datasets/ds001838/versions/1.0.1,True,Patient-Level,False,"Avg. Age: 24.30 years
Age Range: 18.00 to 35.00 years","Patients: 210
Sequences: 210",MRI,Adult,Brain
ds001840,https://openneuro.org/datasets/ds001840/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 25.92 years
Age Range: 18.00 to 37.00 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds001847,https://openneuro.org/datasets/ds001847/versions/1.0.1,False,,,,"Patients: 32
Sequences: 32",MRI,,Brain
ds001848,https://openneuro.org/datasets/ds001848/versions/1.0.1,True,Patient-Level,False,"Avg. Age: 23.56 years
Age Range: 18.00 to 39.00 years","Patients: 56
Sequences: 56",MRI,Adult,Brain
ds001875,https://openneuro.org/datasets/ds001875/versions/1.0.3,False,,,,"Patients: 9
Sequences: 9",MRI,,Brain
ds001882,https://openneuro.org/datasets/ds001882/versions/1.0.7,True,Patient-Level,True,"Avg. Age: 29.05 years
Age Range: 20.00 to 55.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds001883,https://openneuro.org/datasets/ds001883/versions/1.0.3,True,Patient-Level,True,"Avg. Age: 31.29 years
Age Range: 23.00 to 55.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds001894,https://openneuro.org/datasets/ds001894/versions/1.4.2,True,Patient-Level,True,"Avg. Age: 10.48 years
Age Range: 7.50 to 14.38 years","Patients: 188
Sequences: 188",MRI,Peds,Brain
ds001907,https://openneuro.org/datasets/ds001907/versions/3.1.0,False,,,,"Patients: 46
Sequences: 46",MRI,,Brain
ds001912,https://openneuro.org/datasets/ds001912/versions/1.0.2,False,,,,"Patients: 17
Sequences: 17",MRI,,Brain
ds001921,https://openneuro.org/datasets/ds001921/versions/1.0.0,False,,,,"Patients: 15
Sequences: 15",MRI,,Brain
ds001923,https://openneuro.org/datasets/ds001923/versions/1.0.0,False,,,,"Patients: 14
Sequences: 14",MRI,,Brain
ds001926,https://openneuro.org/datasets/ds001926/versions/1.0.1,False,,,,"Patients: 32
Sequences: 32",MRI,,Brain
ds001927,https://openneuro.org/datasets/ds001927/versions/2.1.0,True,Patient-Level,True,"Avg. Age: 25.74 years
Age Range: 19.00 to 32.00 years","Patients: 23
Sequences: 23",MRI,Adult,Brain
ds001928,https://openneuro.org/datasets/ds001928/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 44.23 years
Age Range: 21.00 to 70.00 years","Patients: 40
Sequences: 40",MRI,Adult,Brain
ds001942,https://openneuro.org/datasets/ds001942/versions/1.2.0,True,Patient-Level,True,"Avg. Age: 27.10 years
Age Range: 23.00 to 30.00 years","Patients: 10
Sequences: 10",MRI,Adult,Brain
ds001946,https://openneuro.org/datasets/ds001946/versions/1.0.3,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds001972,https://openneuro.org/datasets/ds001972/versions/1.0.2,False,,,,"Patients: 33
Sequences: 33",MRI,,Brain
ds001978,https://openneuro.org/datasets/ds001978/versions/1.0.3,False,,,,"Patients: 14
Sequences: 14",MRI,,Brain
ds001984,https://openneuro.org/datasets/ds001984/versions/1.0.2,False,,,,"Patients: 15
Sequences: 15",MRI,,Brain
ds002000,https://openneuro.org/datasets/ds002000/versions/1.0.0,False,,,,"Patients: 21
Sequences: 21",MRI,,Brain
ds002001,https://openneuro.org/datasets/ds002001/versions/1.0.0,False,,,,"Patients: 10
Sequences: 10",MRI,,Brain
ds002006,https://openneuro.org/datasets/ds002006/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 24.70 years
Age Range: 18.00 to 37.00 years","Patients: 30
Sequences: 30",MRI,Adult,Brain
ds002011,https://openneuro.org/datasets/ds002011/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 22.18 years
Age Range: 19.00 to 28.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds002013,https://openneuro.org/datasets/ds002013/versions/1.0.3,True,Patient-Level,True,"Avg. Age: 26.00 years
Age Range: 24.00 to 28.00 years","Patients: 4
Sequences: 4",MRI,Adult,Brain
ds002014,https://openneuro.org/datasets/ds002014/versions/1.0.1,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002033,https://openneuro.org/datasets/ds002033/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 25.28 years
Age Range: 18.00 to 39.00 years","Patients: 43
Sequences: 43",MRI,Adult,Brain
ds002040,https://openneuro.org/datasets/ds002040/versions/1.0.2,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002041,https://openneuro.org/datasets/ds002041/versions/2.0.0,True,Patient-Level,True,"Avg. Age: 20.88 years
Age Range: 18.00 to 24.00 years","Patients: 25
Sequences: 25",MRI,Adult,Brain
ds002076,https://openneuro.org/datasets/ds002076/versions/1.0.1,False,,,,"Patients: 13
Sequences: 13",MRI,,Brain
ds002080,https://openneuro.org/datasets/ds002080/versions/4.0.0,True,Patient-Level,True,"Avg. Age: 57.86 years
Age Range: 39.00 to 77.00 years","Patients: 29
Sequences: 29",MRI,Adult,Brain
ds002105,https://openneuro.org/datasets/ds002105/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 23.29 years
Age Range: 19.00 to 29.00 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds002116,https://openneuro.org/datasets/ds002116/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 9.18 years
Age Range: 6.00 to 14.00 years","Patients: 65
Sequences: 65",MRI,Peds,Brain
ds002144,https://openneuro.org/datasets/ds002144/versions/2.0.0,False,,,,"Patients: 36
Sequences: 36",MRI,,Brain
ds002149,https://openneuro.org/datasets/ds002149/versions/1.0.5,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds002153,https://openneuro.org/datasets/ds002153/versions/1.0.1,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002155,https://openneuro.org/datasets/ds002155/versions/1.0.0,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds002156,https://openneuro.org/datasets/ds002156/versions/2.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002158,https://openneuro.org/datasets/ds002158/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 24.90 years
Age Range: 20.00 to 32.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds002168,https://openneuro.org/datasets/ds002168/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 22.88 years
Age Range: 18.00 to 40.00 years","Patients: 48
Sequences: 48",MRI,Adult,Brain
ds002169,https://openneuro.org/datasets/ds002169/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 18.00 years
Age Range: 18.00 to 18.00 years","Patients: 33
Sequences: 33",MRI,Adult,Brain
ds002179,https://openneuro.org/datasets/ds002179/versions/1.1.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002207,https://openneuro.org/datasets/ds002207/versions/1.0.0,False,,,,"Patients: 7
Sequences: 7",MRI,,Brain
ds002232,https://openneuro.org/datasets/ds002232/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 26.83 years
Age Range: 21.00 to 34.00 years","Patients: 6
Sequences: 6",MRI,Adult,Brain
ds002236,https://openneuro.org/datasets/ds002236/versions/1.1.1,True,Patient-Level,True,"Avg. Age: 11.35 years
Age Range: 8.67 to 15.50 years","Patients: 91
Sequences: 91",MRI,Peds,Brain
ds002237,https://openneuro.org/datasets/ds002237/versions/1.1.0,False,,,,"Patients: 16
Sequences: 16",MRI,,Brain
ds002241,https://openneuro.org/datasets/ds002241/versions/1.1.1,False,,,,"Patients: 31
Sequences: 31",MRI,,Brain
ds002242,https://openneuro.org/datasets/ds002242/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 23.11 years
Age Range: 19.00 to 28.00 years","Patients: 35
Sequences: 35",MRI,Adult,Brain
ds002250,https://openneuro.org/datasets/ds002250/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 24.50 years
Age Range: 18.00 to 36.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds002270,https://openneuro.org/datasets/ds002270/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 25.11 years
Age Range: 21.00 to 29.00 years","Patients: 19
Sequences: 19",MRI,Adult,Brain
ds002274,https://openneuro.org/datasets/ds002274/versions/1.0.2,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002278,https://openneuro.org/datasets/ds002278/versions/2.0.0,True,Patient-Level,True,"Avg. Age: 29.60 years
Age Range: 24.00 to 39.00 years","Patients: 5
Sequences: 5",MRI,Adult,Brain
ds002293,https://openneuro.org/datasets/ds002293/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002294,https://openneuro.org/datasets/ds002294/versions/1.0.1,False,,,,"Patients: 40
Sequences: 40",MRI,,Brain
ds002295,https://openneuro.org/datasets/ds002295/versions/1.0.0,False,,,,"Patients: 7
Sequences: 7",MRI,,Brain
ds002307,https://openneuro.org/datasets/ds002307/versions/3.2.2,False,,,,"Patients: 19
Sequences: 19",MRI,,Brain
ds002311,https://openneuro.org/datasets/ds002311/versions/1.1.0,False,,,,"Patients: 23
Sequences: 23",MRI,,Brain
ds002316,https://openneuro.org/datasets/ds002316/versions/1.0.0,False,,,,"Patients: 36
Sequences: 36",MRI,,Brain
ds002320,https://openneuro.org/datasets/ds002320/versions/1.1.0,False,,,,"Patients: 82
Sequences: 82",MRI,,Brain
ds002322,https://openneuro.org/datasets/ds002322/versions/1.0.4,True,Patient-Level,True,"Avg. Age: 20.27 years
Age Range: 18.00 to 26.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds002328,https://openneuro.org/datasets/ds002328/versions/1.0.2,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002330,https://openneuro.org/datasets/ds002330/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 26.62 years
Age Range: 20.00 to 35.00 years","Patients: 66
Sequences: 66",MRI,Adult,Brain
ds002336,https://openneuro.org/datasets/ds002336/versions/2.0.2,True,Patient-Level,True,"Avg. Age: 28.40 years
Age Range: 19.00 to 39.00 years","Patients: 10
Sequences: 10",MRI,Adult,Brain
ds002338,https://openneuro.org/datasets/ds002338/versions/2.0.2,True,Patient-Level,True,"Avg. Age: 35.52 years
Age Range: 18.00 to 66.00 years","Patients: 23
Sequences: 23",MRI,Adult,Brain
ds002345,https://openneuro.org/datasets/ds002345/versions/1.1.4,True,Patient-Level,False,"Avg. Age: 21.93 years
Age Range: 18.00 to 53.00 years","Patients: 345
Sequences: 345",MRI,Adult,Brain
ds002358,https://openneuro.org/datasets/ds002358/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002363,https://openneuro.org/datasets/ds002363/versions/1.1.1,True,Patient-Level,True,"Avg. Age: 25.18 years
Age Range: 19.00 to 32.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds002366,https://openneuro.org/datasets/ds002366/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 72.84 years
Age Range: 56.03 to 83.09 years","Patients: 34
Sequences: 34",MRI,Adult,Brain
ds002367,https://openneuro.org/datasets/ds002367/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002372,https://openneuro.org/datasets/ds002372/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002380,https://openneuro.org/datasets/ds002380/versions/1.0.1,False,,,,"Patients: 143
Sequences: 143",MRI,,Brain
ds002382,https://openneuro.org/datasets/ds002382/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 48.44 years
Age Range: 19.00 to 81.00 years","Patients: 61
Sequences: 61",MRI,Adult,Brain
ds002385,https://openneuro.org/datasets/ds002385/versions/1.1.0,True,Patient-Level,False,"Avg. Age: 21.39 years
Age Range: 12.04 to 33.35 years","Patients: 333
Sequences: 333",MRI,"Peds, Adult (>68.5%)",Brain
ds002411,https://openneuro.org/datasets/ds002411/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 22.31 years
Age Range: 20.00 to 24.00 years","Patients: 29
Sequences: 29",MRI,Adult,Brain
ds002419,https://openneuro.org/datasets/ds002419/versions/1.0.3,True,Patient-Level,True,"Avg. Age: 27.71 years
Age Range: 23.00 to 39.00 years","Patients: 48
Sequences: 48",MRI,Adult,Brain
ds002424,https://openneuro.org/datasets/ds002424/versions/1.2.0,True,Patient-Level,True,"Avg. Age: 10.39 years
Age Range: 8.59 to 11.96 years","Patients: 79
Sequences: 79",MRI,Peds,Brain
ds002425,https://openneuro.org/datasets/ds002425/versions/1.0.2,False,,,,"Patients: 5
Sequences: 5",MRI,,Brain
ds002513,https://openneuro.org/datasets/ds002513/versions/1.0.0,False,,,,"Patients: 65
Sequences: 65",MRI,,Brain
ds002522,https://openneuro.org/datasets/ds002522/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 22.06 years
Age Range: 18.00 to 30.00 years","Patients: 48
Sequences: 48",MRI,Adult,Brain
ds002543,https://openneuro.org/datasets/ds002543/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 21.98 years
Age Range: 19.00 to 29.00 years","Patients: 49
Sequences: 49",MRI,Adult,Brain
ds002547,https://openneuro.org/datasets/ds002547/versions/1.1.0,True,Patient-Level,False,"Avg. Age: 21.48 years
Age Range: 18.00 to 25.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds002549,https://openneuro.org/datasets/ds002549/versions/1.0.1,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002550,https://openneuro.org/datasets/ds002550/versions/1.0.1,False,,,,"Patients: 22
Sequences: 22",MRI,,Brain
ds002574,https://openneuro.org/datasets/ds002574/versions/1.0.1,False,,,,"Patients: 3
Sequences: 3",MRI,,Brain
ds002578,https://openneuro.org/datasets/ds002578/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 30.00 years
Age Range: 30.00 to 30.00 years","Patients: 2
Sequences: 2",MRI,Adult,Brain
ds002596,https://openneuro.org/datasets/ds002596/versions/1.0.1,False,,,,"Patients: 19
Sequences: 19",MRI,,Brain
ds002603,https://openneuro.org/datasets/ds002603/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 22.26 years
Age Range: 19.00 to 25.00 years","Patients: 23
Sequences: 23",MRI,Adult,Brain
ds002606,https://openneuro.org/datasets/ds002606/versions/1.1.0,False,,,,"Patients: 10
Sequences: 10",MRI,,Brain
ds002608,https://openneuro.org/datasets/ds002608/versions/1.0.2,False,,,,"Patients: 41
Sequences: 41",MRI,,Brain
ds002609,https://openneuro.org/datasets/ds002609/versions/1.0.3,False,,,,"Patients: 49
Sequences: 49",MRI,,Brain
ds002614,https://openneuro.org/datasets/ds002614/versions/1.0.0,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002620,https://openneuro.org/datasets/ds002620/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 72.84 years
Age Range: 56.03 to 83.09 years","Patients: 34
Sequences: 34",MRI,Adult,Brain
ds002634,https://openneuro.org/datasets/ds002634/versions/3.0.0,False,,,,"Patients: 20
Sequences: 20",MRI,,Brain
ds002643,https://openneuro.org/datasets/ds002643/versions/1.1.0,True,Task/Data Description,,Age Range: 18.00 to 50.00 years,"Patients: 80
Sequences: 80",MRI,Adult,Brain
ds002655,https://openneuro.org/datasets/ds002655/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 23.11 years
Age Range: 18.00 to 31.00 years","Patients: 35
Sequences: 35",MRI,Adult,Brain
ds002672,https://openneuro.org/datasets/ds002672/versions/1.0.0,False,,,,"Patients: 5
Sequences: 5",MRI,,Brain
ds002674,https://openneuro.org/datasets/ds002674/versions/1.0.6,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002675,https://openneuro.org/datasets/ds002675/versions/1.0.0,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds002684,https://openneuro.org/datasets/ds002684/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 33.75 years
Age Range: 30.00 to 45.00 years","Patients: 4
Sequences: 4",MRI,Adult,Brain
ds002685,https://openneuro.org/datasets/ds002685/versions/2.0.0,True,Patient-Level,True,"Avg. Age: 33.08 years
Age Range: 26.00 to 40.00 years","Patients: 13
Sequences: 13",MRI,Adult,Brain
ds002687,https://openneuro.org/datasets/ds002687/versions/1.2.0,True,Patient-Level,True,"Avg. Age: 26.15 years
Age Range: 20.40 to 30.14 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds002702,https://openneuro.org/datasets/ds002702/versions/1.0.1,False,,,,"Patients: 11
Sequences: 11",MRI,,Brain
ds002711,https://openneuro.org/datasets/ds002711/versions/1.1.0,True,Patient-Level,True,"Avg. Age: 34.47 years
Age Range: 24.00 to 57.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds002715,https://openneuro.org/datasets/ds002715/versions/1.0.0,False,,,,"Patients: 8
Sequences: 8",MRI,,Brain
ds002717,https://openneuro.org/datasets/ds002717/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 35.24 years
Age Range: 25.00 to 48.00 years","Patients: 59
Sequences: 59",MRI,Adult,Brain
ds002718,https://openneuro.org/datasets/ds002718/versions/1.0.5,True,Patient-Level,False,"Avg. Age: 26.38 years
Age Range: 23.00 to 31.00 years","Patients: 18
Sequences: 18",MRI,Adult,Brain
ds002726,https://openneuro.org/datasets/ds002726/versions/1.0.1,False,,,,"Patients: 29
Sequences: 29",MRI,,Brain
ds002727,https://openneuro.org/datasets/ds002727/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 27.09 years
Age Range: 19.00 to 36.00 years","Patients: 23
Sequences: 23",MRI,Adult,Brain
ds002731,https://openneuro.org/datasets/ds002731/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 21.46 years
Age Range: 18.00 to 25.00 years","Patients: 67
Sequences: 67",MRI,Adult,Brain
ds002732,https://openneuro.org/datasets/ds002732/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 23.47 years
Age Range: 19.00 to 38.00 years","Patients: 30
Sequences: 30",MRI,Adult,Brain
ds002733,https://openneuro.org/datasets/ds002733/versions/1.0.1,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds002734,https://openneuro.org/datasets/ds002734/versions/1.0.2,False,,,,"Patients: 22
Sequences: 22",MRI,,Brain
ds002735,https://openneuro.org/datasets/ds002735/versions/1.0.2,False,,,,"Patients: 11
Sequences: 11",MRI,,Brain
ds002737,https://openneuro.org/datasets/ds002737/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 0.00 years
Age Range: 0.00 to 0.00 years","Patients: 1
Sequences: 1",MRI,Peds,Brain
ds002738,https://openneuro.org/datasets/ds002738/versions/1.0.2,False,,,,"Patients: 36
Sequences: 36",MRI,,Brain
ds002739,https://openneuro.org/datasets/ds002739/versions/1.0.0,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds002741,https://openneuro.org/datasets/ds002741/versions/1.0.2,False,,,,"Patients: 30
Sequences: 30",MRI,,Brain
ds002743,https://openneuro.org/datasets/ds002743/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 30.00 years
Age Range: 30.00 to 30.00 years","Patients: 3
Sequences: 3",MRI,Adult,Brain
ds002748,https://openneuro.org/datasets/ds002748/versions/1.0.5,True,Patient-Level,True,"Avg. Age: 33.08 years
Age Range: 19.00 to 55.00 years","Patients: 72
Sequences: 72",MRI,Adult,Brain
ds002750,https://openneuro.org/datasets/ds002750/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 0.00 years
Age Range: 0.00 to 0.00 years","Patients: 3
Sequences: 3",MRI,Peds,Brain
ds002766,https://openneuro.org/datasets/ds002766/versions/3.0.2,False,,,,"Patients: 3
Sequences: 3",MRI,,Brain
ds002773,https://openneuro.org/datasets/ds002773/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 21.00 years
Age Range: 17.00 to 25.00 years","Patients: 19
Sequences: 19",MRI,"Peds, Adult (>94.73%)",Brain
ds002776,https://openneuro.org/datasets/ds002776/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 22.15 years
Age Range: 18.00 to 30.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds002785,https://openneuro.org/datasets/ds002785/versions/2.0.0,True,Patient-Level,False,"Avg. Age: 22.18 years
Age Range: 18.25 to 26.25 years","Patients: 216
Sequences: 216",MRI,Adult,Brain
ds002790,https://openneuro.org/datasets/ds002790/versions/2.0.0,True,Patient-Level,False,"Avg. Age: 21.96 years
Age Range: 18.25 to 25.75 years","Patients: 226
Sequences: 226",MRI,Adult,Brain
ds002793,https://openneuro.org/datasets/ds002793/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 24.54 years
Age Range: 19.00 to 33.00 years","Patients: 28
Sequences: 28",MRI,Adult,Brain
ds002797,https://openneuro.org/datasets/ds002797/versions/1.0.2,True,Patient-Level,True,"Avg. Age: 30.00 years
Age Range: 30.00 to 30.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds002799,https://openneuro.org/datasets/ds002799/versions/1.0.4,True,Patient-Level,True,"Avg. Age: 35.81 years
Age Range: 13.00 to 59.00 years","Patients: 26
Sequences: 26",MRI,"Peds, Adult (>96.15%)",Brain
ds002813,https://openneuro.org/datasets/ds002813/versions/1.0.0,True,Patient-Level,True,"Avg. Age: 21.80 years
Age Range: 18.00 to 32.00 years","Patients: 40
Sequences: 40",MRI,Adult,Brain
ds002814,https://openneuro.org/datasets/ds002814/versions/1.3.0,True,Patient-Level,True,"Avg. Age: 24.62 years
Age Range: 19.00 to 32.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds002835,https://openneuro.org/datasets/ds002835/versions/1.0.1,False,,,,"Patients: 26
Sequences: 26",MRI,,Brain
ds002837,https://openneuro.org/datasets/ds002837/versions/2.0.0,True,Patient-Level,True,"Avg. Age: 26.73 years
Age Range: 18.00 to 58.00 years","Patients: 86
Sequences: 86",MRI,Adult,Brain
ds002841,https://openneuro.org/datasets/ds002841/versions/1.0.1,False,,,,"Patients: 29
Sequences: 29",MRI,,Brain
ds002842,https://openneuro.org/datasets/ds002842/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 25.73 years
Age Range: 20.00 to 40.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds002843,https://openneuro.org/datasets/ds002843/versions/1.0.1,True,Patient-Level,True,"Avg. Age: 24.52 years
Age Range: 18.00 to 34.00 years","Patients: 166
Sequences: 166",MRI,Adult,Brain
